user/id,user/name,user/profilePic,user/profileUrl,text,likesCount,sharesCount,commentsCount,date,url
100069840194827,parul university,https://scontent.fpgz1-1.fna.fbcdn.net/v/t39.30808-1/332467153_3418685935011195_1158729619444372650_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=jvc7g23avxqq7knvghu8idp&_nc_ht=scontent.fpgz1-1.fna&oh=00_aybngd4zm4n8kyhgha_jivjkicio9lhdxxtgwdqzqfyp-a&oe=66c1e64a,https://www.facebook.com/paruluniversity,"favorite campus spot get cheesy upgrade 

 way new food spot campus domino pizza situate opposite size zero outlet perfect answer craving add excitement fortune 500 company arrive campus 

 warning album contain fresh hot pizza slice fresh warm smile 

 domino dominospizza paruluniversity lifeatpu pizza",220,10,4,2024 08 09t09:52:35.000z,https://www.facebook.com/paruluniversity/posts/pfbid0g3mf9s9jdtqqycqsvchtfrefuqzxafihab9wcwdhkb3xzquw5pnhrdbmk8bpaye7l
100065232962708,westerhope convenience store,https://scontent.fpgz1-1.fna.fbcdn.net/v/t39.30808-1/420271431_787484880102604_4619162810397711060_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=105&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=5j00hz5vuvaq7knvggd2nmf&_nc_ht=scontent.fpgz1-1.fna&oh=00_aycpyx5v5odypftrqwjvxeluws8cn7mxg4ochfwaks2zpw&oe=66c1dbf5,https://www.facebook.com/people/westerhope-convenience-store/100065232962708/,unreal westerhope dominos let dominospizza domino pizza westerhope newcastle toon,57,3,15,2024 08 05t17:29:16.000z,https://www.facebook.com/100065232962708/videos/395014906528075/
61559792516092,susesse vent,https://scontent.fpgz1-1.fna.fbcdn.net/v/t39.30808-1/442379045_122095644230326417_2986881814472186842_n.png?stp=cp0_dst-png_p40x40&_nc_cat=100&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=q95ayn16hpiq7knvghwzpqt&_nc_ht=scontent.fpgz1-1.fna&oh=00_ayahrl6zbecwaxfnovts5rozuhhhvt8uy5qaatawo8r0ta&oe=66c1be1d,https://www.facebook.com/people/susesse-vent/61559792516092/,marble chain reaction table   marblerun asmr rubegoldbermachine domino,353,0,5,2024 08 09t07:00:01.000z,https://www.facebook.com/reel/1234847474197037/
100093362952516,lego_respect,https://scontent.fpgz1-1.fna.fbcdn.net/v/t39.30808-1/352181136_252066040806295_1636826620809741035_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=102&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=ljonbewzhqiq7knvgh16tcy&_nc_ht=scontent.fpgz1-1.fna&oh=00_ayceftbeugkxxvzayqrpzzg3ahoyyra2vdgbeksvjreaba&oe=66c1dbe0,https://www.facebook.com/people/lego_respect/100093362952516/,trammel archimedes slider center slider fix channel rotate result essentially pair gear 21 reduction make fun desktop toy lego domino engineer fyp foryou short   legomoc    lego   legomoc   legomoccont   legomocbuild   legobrick   legobuilder,10000,804,44,2023 06 28t09:14:10.000z,https://www.facebook.com/reel/784816859967979/
100071576863657,gs food travel,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-1/234163420_162619912543992_4987226980100397110_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=7xoolc2hunuq7knvgfszxlo&_nc_ht=scontent-ord5-2.xx&oh=00_aydkxbmeubiuvxgsmjc0bd6jpijcyuvooipea1mt2tay9a&oe=66c1c6e1,https://www.facebook.com/gsfoodtravel,"ad domino   pizza rs187/- 

 1 download domino link   https://dominos.drln.me/facebook/bevedx 
 2 offer new user   order domino app 
 3.pizza cart 5 classic pizza   
 4 apply code wow1179 
 4 offer valid 3 order delivery ❤ 

 order right 
 discountonfood discountonfoodbill discoutonfoodanddrink indianrestaurant indianrestaurant cheesy domino dominospizza trendingreel",3707,528,150,2024 02 16t11:44:21.000z,https://www.facebook.com/gsfoodtravels/posts/pfbid02dkrn9au2mxdrs7wyqw4xqfc76ybywfeciazgervjzk2h6pwkiefqkmtfwkpxexbfl
100032847656783,roll blue,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-1/432444389_1090141375424107_2402329345842491442_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=bvqdf-xuusoq7knvghzi3ue&_nc_ht=scontent-ord5-2.xx&oh=00_aydktpivficzxacnz1hvlqibsj0twlrzt2ghu3n8mstddg&oe=66c1e43f,https://www.facebook.com/officialrollingblue,google know greenday parodysong pizza domino joeykalico rollingblue,12079,3721,408,2023 07 20t19:10:04.000z,https://www.facebook.com/officialrollingblue/posts/pfbid034ptfukgogc4ajwknsesgewwmmocr3jmxubtrcxre13jjg59ntiefmqpgrxlhtb47l
61557172689188,theresa ruby,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/430597245_122106958784239089_2534089560392305942_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=111&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=hhgbcspjsucq7knvgfduide&_nc_ht=scontent-ord5-1.xx&oh=00_ayc3qpso2ymyychgonq32pw5i451u38clnsjg8lfesydmg&oe=66c1ec03,https://www.facebook.com/people/theresa-ruby/61557172689188/,dominos worker customer   lol pov karen humor food domino recipe iknewit momsover40 fypシ,35,2,44,2024 08 08t10:57:34.000z,https://www.facebook.com/permalink.php?story_fbid=pfbid0358updkocszrrnfmstv8jgsj7phuwgnxvjpvzxta7e5ri3khrtf2le63xy4gjukbyl&id=61557172689188
100089314351644,casper capital,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/322202151_674595554114704_732142372863428631_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=101&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=vwllu4qiqqcq7knvggfnbpj&_nc_ht=scontent-ord5-1.xx&oh=00_aydnjy2l1whpxallccuxbgj3-iniryyegifedazeigcvvg&oe=66c1da5f,https://www.facebook.com/people/casper-capital/100089314351644/,domino secret hack   domino dominospizza pizza,3634,847,187,2024 08 03t22:37:57.000z,https://www.facebook.com/permalink.php?story_fbid=pfbid0k35tw7fxw7pvshhrwgmyo6j3guvq25dd5bz5ndcky2eic41umxbrdmgkpfmwkj7ul&id=100089314351644
61563220253410,riyas vlog siliguri,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-1/451986464_122094183368440675_7766626855633578444_n.jpg?stp=cp6_dst-jpg_p40x40&_nc_cat=105&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=rbszrt8vkpyq7knvgff6ekw&_nc_ht=scontent-ord5-2.xx&oh=00_ayce9fx7r9js5byorg1b-ejhfkoksjd6eydxmtvhuw1bog&oe=66c1cefd,https://www.facebook.com/people/riyas-vlog-siliguri/61563220253410/,"truth zudio sale siliguri zudio sale domino 99rs pizza   

 riyashilofficial3   zudiosale   explorepage   dominospizza   domino   offer   zudioshoppingvlog",5,3,3,2024 08 11t09:45:19.000z,https://www.facebook.com/permalink.php?story_fbid=pfbid0ufmpq9srktpmzsk895ql9wyo5tgjxhrmx9dzuyhnex1h55kwa1lshbndsxrhjuqxl&id=61563220253410
809404720,joshua pettit,https://scontent.fkul21-1.fna.fbcdn.net/v/t39.30808-1/323903595_738722324336020_3023667852277147110_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=bwuvqwzzopyq7knvgg0ehvt&_nc_ht=scontent.fkul21-1.fna&oh=00_aybru-nzipxg3s36mw3nuhhiwwod7bnvx6_ilwogsa9mha&oe=66c1c15f,https://www.facebook.com/joshuapettit,watch hate feed pizza dinner domino caregiver caregive dementia endalz alzheimer alzheimer alzheimersawareness,2831,9,258,2023 12 10t22:52:55.000z,https://www.facebook.com/reel/663795382600793/
100000810852242,abhijeet saikia,https://scontent.fplu41-1.fna.fbcdn.net/v/t39.30808-1/450423333_7827956200574664_2245213976913082201_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=101&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=iug52z1vlcqq7knvgghdqby&_nc_ht=scontent.fplu41-1.fna&oh=00_ayacalma3lutam4qmopoza78qew9njlpsxl_7si6ggxfla&oe=66c1beb4,https://www.facebook.com/abhijeet.xaikia,টনা আজোৰা নকৰিবা॥bhagot sobei paba happy aaniversary guys   drixhti borah   ishaan bora        facebookviral shortsvideo youtube anniversary cake domino likesforlike comment share trendingpost trendingvideo viralreelsfacebook viralshort,1437,0,26,2024 08 05t09:36:12.000z,https://www.facebook.com/reel/1842654509553786/
61557640430702,domino partie,https://scontent.fplu41-1.fna.fbcdn.net/v/t39.30808-1/432777518_2397904120412719_6649993565781343347_n.jpg?stp=c0.0.40.40a_cp0_dst-jpg_p40x40&_nc_cat=108&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=f7jqobhupt8q7knvge7pbla&_nc_ht=scontent.fplu41-1.fna&oh=00_ayb5fk_dke5cepmakhpv3qupeokfbgjaj8zrx6kqrn1mhg&oe=66c1ef8b,https://www.facebook.com/people/domino-partie/61557640430702/,اي رقم تلعب domino europe الشعب domino viral,2630,25,3419,2024 06 15t13:40:06.000z,https://www.facebook.com/reel/1481026646135470/
100050311847144,pastora michelle treviño,https://scontent.fplu41-1.fna.fbcdn.net/v/t39.30808-1/438701612_1009927470694305_3997554845443521358_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=106&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=x8g-m5jw2vaq7knvghjnr-h&_nc_ht=scontent.fplu41-1.fna&oh=00_aya0gtq9iwmhwltfl-6hugnfic2nfz2gew--a3kmbhzzhq&oe=66c1cb19,https://www.facebook.com/pastoramichelletrevino,tu peor enemigo es este .. mente pastora wow pastoramichelletreviño sabiduria libre poder domino mind mindset kingdomculture yes,1167,216,206,2024 08 08t16:39:17.000z,https://www.facebook.com/reel/1199122337937436/
